Coin,classification,rows,realized_trades,realized_rate,notional_usd,gross_pnl,fees,net_pnl,avg_net_per_row,avg_net_per_realized,median_net_realized,win_rate_realized,profit_factor,gross_win_sum,gross_loss_sum,pnl_per_1k_notional,avg_fee_bps
PENDLE,Greed,375.0,161.0,0.42933333333333334,267669.03,1328.2110870000001,57.236468,1270.974619,3.3892656506666667,8.082485919254658,2.626683,0.7888198757763976,4.336146064492547,1691.3351670000004,-390.05493400000006,4.74830658967158,2.138329862068839
BIO,Greed,162.0,156.0,0.9629629629629629,149438.9,1278.6391039999999,17.583753,1261.055351,7.784292290123457,8.132111788461538,0.8816339999999999,0.8205128205128205,26.845715368058507,1317.693375,-49.083935999999994,8.438601669311003,1.1766516616490086
ONDO,Neutral,435.0,119.0,0.2735632183908046,342011.78,1225.839495,40.663697,1185.175798,2.724542064367816,10.054042974789919,2.253713,1.0,inf,1196.4311140000004,0.0,3.4653069493688196,1.188956035373986
PURR,Neutral,136.0,104.0,0.7647058823529411,120014.58,1023.002126,14.765147,1008.2369789999999,7.413507198529411,9.7810265,6.4671555000000005,0.9807692307692307,60.669369061119674,1034.2744770000002,-17.047721,8.400954109075746,1.2302794377149842
BRETT,Extreme Greed,130.0,105.0,0.8076923076923077,141907.32,949.793863,28.511658999999998,921.2822039999999,7.0867861846153835,8.90849179047619,7.6701179999999995,0.7619047619047619,2.0593124441333392,1818.409338,-883.0177000000001,6.492140109474267,2.009174650046241
VINE,Fear,136.0,131.0,0.9632352941176471,170889.03999999998,882.309695,31.423828999999998,850.885866,6.256513720588235,6.558109977099237,2.638954,0.8320610687022901,5.22537400930157,1062.4346229999996,-203.32221599999997,4.979171666012051,1.8388440241691335
PAXG,Extreme Fear,510.0,201.0,0.3941176470588235,1285122.3299999998,588.956072,158.13764200000003,430.81843000000003,0.8447420196078432,2.5217765472636815,0.6005849999999999,0.9601990049751243,29.58382838957555,524.610088,-17.733002,0.3352353468171393,1.2305259842461849
@142,Fear,250.0,114.0,0.456,1209801.1,461.1217320000005,77.99891064079999,383.12282135920077,1.5324912854368031,3.360734666666666,-0.191243,0.47368421052631576,1.098351009375738,4278.597265000001,-3895.4735129999995,0.31668248719496184,0.6447250762195537
W,Extreme Greed,326.0,113.0,0.34662576687116564,167132.86,294.885312,46.529959000000005,248.35535300000004,0.7618262361963192,2.45233292920354,1.399224,0.9734513274336283,86.23045724154154,280.3649659999999,-3.251345,1.4859756064725995,2.7840102179786794
POPCAT,Neutral,472.0,218.0,0.461864406779661,271116.73,-38.261680999999726,68.37765999999999,-106.63934099999994,-0.2259308072033897,-0.26535687155963283,-3.395466,0.4036697247706422,0.9680074916708218,1750.319208,-1808.1670060000001,-0.3933336795556657,2.5220745322503704
BERA,Fear,340.0,105.0,0.3088235294117647,643849.49,-27.646403999999677,98.035978,-125.68238199999857,-0.36965406470587814,-0.6155284476190465,0.012535,0.5142857142857142,0.9897393700922014,6234.250535000001,-6298.881022,-0.1952045997582425,1.52265365621397
XRP,Extreme Greed,522.0,206.0,0.3946360153256705,321224.97,-51.90063299999997,87.81277999999999,-139.71341299999983,-0.26765021647509546,-0.4577502669902913,1.182037,0.8203883495145631,0.9125897740799064,984.4851779999999,-1078.781733,-0.4349394538039799,2.7336847443709
@4,Neutral,263.0,141.0,0.5361216730038023,25146.9,-853.866594,5.889506000000001,-859.7560999999998,-3.2690346007604556,-6.088087375886526,-5.87285,0.04964539007092199,0.02794933598457121,24.682126999999998,-883.1024470000002,-34.18934739470868,2.3420405696129545
FARTCOIN,Neutral,530.0,124.0,0.2339622641509434,505681.32999999996,-1621.8123069999997,117.65850800000001,-1739.4708149999997,-3.2820204056603766,-13.323250701612901,2.7774125,0.7338709677419355,0.4344188226009,1268.9531020000002,-2921.0361890000004,-3.439855719015768,2.326732292054366
kBONK,Greed,742.0,570.0,0.7681940700808625,659324.62,-2021.4002690000007,100.68988300000001,-2122.0901520000007,-2.8599597735849067,-3.6203381017543865,-12.659210999999999,0.10175438596491228,0.713570269971951,5140.941245,-7204.533963,-3.2185816934911378,1.5271670425411992
TRUMP,Extreme Greed,450.0,213.0,0.47333333333333333,1876678.4000000001,-2589.7278620000016,503.646725,-3093.374586999995,-6.874165748888878,-13.299034469483566,12.001987,0.7370892018779343,0.8864900240985202,22122.771638000002,-24955.46598,-1.648324287741573,2.6837135494286075
